lane_id,origin_site_id,destination_site_id,active_days,total_observed_trips,total_orders,total_weight_kg,total_volume_m3,distance_km_p50,duration_hours_p50,duration_hours_p90,daily_weight_p50_kg,daily_weight_p90_kg,daily_volume_p50_m3,daily_volume_p90_m3,destination_city_count_p50
site_2158__site_2153,site_2158,site_2153,4,4,4,4.4,0.029829,61.1,1.3183333333333334,1.3183333333333334,1.1,1.2,0.0073875,0.0097578,1.0
site_0971__site_1020,site_0971,site_1020,4,4,4,4.65,0.028159,50.0,1.8979166666666667,1.8979166666666667,1.1,1.375,0.0063985,0.0105705,1.0
site_0191__site_0142,site_0191,site_0142,4,4,4,4.7,0.028991799999999998,19.25,1.3448611111111113,1.3448611111111113,1.0,1.4900000000000002,0.0044485,0.012713460000000001,1.0
site_1642__site_1634,site_1642,site_1634,3,3,4,8.83,0.048674999999999996,52.69,2.4716666666666667,2.4716666666666667,2.16,4.968,0.018,0.02424,1.0
site_0191__site_0187,site_0191,site_0187,4,4,4,2.98,0.02284067,27.85,0.8451388888888889,0.8451388888888889,0.8,1.0,0.005011,0.007957669,1.0
site_1425__site_1416,site_1425,site_1416,4,4,4,10.540000000000001,0.091138,20.77,1.3105555555555555,1.3105555555555555,2.835,3.87,0.024102,0.0382976,1.0
site_2281__site_2275,site_2281,site_2275,4,4,4,3.58,0.03011618,24.24,0.8069444444444445,0.8069444444444445,0.61,1.5580000000000003,0.00404709,0.013821654000000003,1.0
site_1881__site_1918,site_1881,site_1918,4,4,4,9.879999999999999,0.09525668000000001,9.05,0.8080555555555555,0.8080555555555555,2.505,3.5040000000000004,0.027185340000000002,0.036149004,1.0
site_2281__site_2290,site_2281,site_2290,4,4,4,4.9399999999999995,0.031956000000000005,22.0,1.3905555555555558,1.3905555555555558,1.0,1.9520000000000002,0.004022,0.015129600000000003,1.0
site_1881__site_1892,site_1881,site_1892,4,4,4,4.0,0.019772,18.35,0.8284722222222223,0.8284722222222223,1.0,1.0,0.004875,0.0056625,1.0
site_0191__site_0233,site_0191,site_0233,4,4,4,5.95,0.04389048,16.91,1.4076388888888889,1.4076388888888889,1.275,2.145,0.01115924,0.017180544,1.0
site_1881__site_1866,site_1881,site_1866,4,4,4,4.76,0.028159,9.47,0.6455555555555555,0.6455555555555555,1.1,1.4520000000000002,0.0063985,0.0105705,1.0
site_0191__site_0291,site_0191,site_0291,4,4,4,6.9399999999999995,0.05849016,27.48,1.9456944444444444,1.9456944444444444,1.68,2.5140000000000002,0.011775,0.026907712,1.0
site_0893__site_0896,site_0893,site_0896,3,4,4,4.2,0.022596,46.0,1.3851388888888887,1.5810277777777777,1.0,1.9600000000000002,0.004022,0.012446,1.0
site_1542__site_1564,site_1542,site_1564,4,4,4,7.2700000000000005,0.062342,47.0,1.328611111111111,1.328611111111111,1.2,3.069000000000001,0.009000000000000001,0.030991500000000005,1.0
site_0537__site_0637,site_0537,site_0637,4,4,4,2.79,0.02590096,42.28,1.7850000000000001,1.7850000000000001,0.5700000000000001,1.1370000000000002,0.004022,0.010891072000000002,1.0
site_2348__site_0718,site_2348,site_0718,4,4,4,4.0,0.017293000000000003,37.19,1.4045833333333333,1.4045833333333333,1.0,1.0,0.004198,0.0047247,1.0
site_1483__site_1496,site_1483,site_1496,3,4,4,5.52,0.030814,43.0,3.5544444444444445,4.568194444444445,2.0,2.416,0.008044,0.015024800000000001,1.0
site_1873__site_1862,site_1873,site_1862,4,4,4,5.359999999999999,0.033662000000000004,20.34,0.7868055555555555,0.7868055555555555,1.0,1.9520000000000002,0.004875,0.015385500000000003,1.0
site_2348__site_0722,site_2348,site_0722,4,4,4,4.664999999999999,0.031956000000000005,38.78,1.4965277777777777,1.4965277777777777,1.0,1.9520000000000002,0.004022,0.015129600000000003,1.0
site_1642__site_2169,site_1642,site_2169,4,4,4,5.82,0.031921,271.85,4.039166666666667,4.039166666666667,1.1,2.1940000000000004,0.0067495,0.0129231,1.0
site_2348__site_0726,site_2348,site_0726,3,3,4,4.1,0.021291,26.47,1.4875,1.4875,1.0,1.8800000000000001,0.004022,0.011402,1.0
site_1881__site_1807,site_1881,site_1807,3,3,4,5.359999999999999,0.029616,31.99,1.0975,1.0975,2.0,2.288,0.008044,0.0156488,1.0
site_0862__site_0866,site_0862,site_0866,4,4,4,8.43,0.07130600000000001,25.91,1.00125,1.00125,1.7799999999999998,3.4170000000000003,0.015210000000000001,0.0317718,1.0
site_2348__site_0730,site_2348,site_0730,4,4,4,9.350000000000001,0.06668,29.13,1.254722222222222,1.254722222222222,1.1,4.665000000000001,0.0073425,0.035751500000000005,1.0
site_1071__site_1096,site_1071,site_1096,4,4,4,11.46,0.13386699999999999,21.56,1.4783333333333333,1.4783333333333333,1.7799999999999998,5.538000000000001,0.0131625,0.07748260000000001,1.0
site_0281__site_2125,site_0281,site_2125,3,3,4,4.38,0.028374999999999997,63.17,1.5144444444444445,1.5144444444444445,1.03,2.0860000000000003,0.010022,0.0118868,1.0
site_1402__site_1693,site_1402,site_1693,4,4,4,8.4,0.09304662999999999,41.97,1.7906944444444446,1.7906944444444446,1.68,4.019000000000001,0.010786,0.05248184100000001,1.0
site_1873__site_1910,site_1873,site_1910,4,4,4,4.0,0.022075,16.57,2.672638888888889,2.672638888888889,1.0,1.0,0.0056,0.006,1.0
site_2348__site_0740,site_2348,site_0740,4,4,4,5.800000000000001,0.037697,39.28,1.2865277777777777,1.2865277777777777,1.2000000000000002,2.0700000000000003,0.0073875,0.0158625,1.0
site_2348__site_0744,site_2348,site_0744,4,4,4,9.96,0.10750099999999999,36.57,1.1593055555555556,1.1593055555555556,1.9,4.362,0.0145875,0.057363300000000006,1.0
site_1425__site_1428,site_1425,site_1428,4,4,4,3.465,0.016088,8.89,0.6970833333333333,0.6970833333333333,1.0,1.0,0.004022,0.004022,1.0
site_0812__site_1425,site_0812,site_1425,4,4,4,1.3399999999999999,0.016088,102.16,1.902222222222222,1.902222222222222,0.31,0.39,0.004022,0.004022,1.0
site_2348__site_0751,site_2348,site_0751,3,4,4,6.53,0.07721199999999999,41.78,1.8275,1.8275,1.0,4.2,0.004022,0.056138799999999996,1.0
site_1786__site_0159,site_1786,site_0159,4,4,4,6.3999999999999995,0.057329,42.57,1.659861111111111,1.659861111111111,1.295,2.3840000000000003,0.010003499999999999,0.026469000000000006,1.0
