lane_id,departure_site_id,arrival_site_id,physical_legs,vehicle_distance_km,emissions_kgco2_min,emissions_kgco2_max,waybills
lane_00914,site_0857,site_1775,1,260.67,201.35247813081628,201.35247813081628,1
lane_00096,site_0164,site_0241,15,396.15,122.25109626329596,201.34394855861433,15
lane_00362,site_0385,site_1530,2,260.58,201.2829583432236,201.2829583432236,2
lane_02665,site_2128,site_2110,4,396.0,122.20480656384,201.26771078937597,4
lane_01472,site_1293,site_2237,1,227.91,200.70536288756796,200.70536288756796,1
lane_02033,site_1701,site_2230,1,259.52,200.4641697337992,200.4641697337992,1
lane_01494,site_1300,site_1391,1,259.35,200.33285457945757,200.33285457945757,1
lane_01227,site_1119,site_1988,2,312.38,168.8476502101558,200.03157700557617,2
lane_01654,site_1414,site_1437,13,392.47,121.11545563664212,199.47358195329895,15
lane_00347,site_0385,site_0379,2,310.98,168.09092215364063,199.13509129007645,1
lane_02863,site_2316,site_0716,10,391.1,120.69267638161064,198.7772769942549,13
lane_00102,site_0164,site_0272,12,390.53,120.51677552367782,198.48757347114895,19
lane_02592,site_2128,site_0181,7,390.10999999999996,120.38716436520103,198.27410771728142,8
lane_01817,site_1530,site_1543,13,390.0,120.35321858559998,198.21820001983994,15
lane_02924,site_2316,site_2309,5,353.49,141.5600303381428,198.1578891509078,6
lane_02169,site_1762,site_0282,8,389.6,120.22977938705064,198.0148993018709,9
lane_02430,site_1998,site_1248,1,256.04,197.77607128021714,197.77607128021714,1
lane_03031,site_2390,site_1966,1,224.4,197.61433650111996,197.61433650111996,1
lane_02173,site_1762,site_0294,8,388.48,119.8841496311125,197.4456572915575,11
lane_02683,site_2136,site_1942,2,254.0,196.2002894281173,196.2002894281173,2
lane_01892,site_1573,site_1934,2,253.64,195.92221027774673,195.92221027774673,4
lane_02944,site_2322,site_0782,1,252.02,194.67085410107921,194.67085410107921,1
lane_02958,site_2325,site_1980,1,382.57,118.06033547254611,194.44188918356454,1
lane_03017,site_2379,site_1763,1,250.17,193.24183624500827,193.24183624500827,1
lane_02064,site_1725,site_1986,2,248.86,192.2299371144932,192.2299371144932,3
lane_00605,site_0647,site_0665,9,378.0,116.65004262911997,192.11917848076797,138
lane_01445,site_1293,site_1718,2,300.0,162.15601211039996,192.10408189279997,2
lane_00108,site_0164,site_0299,9,377.64,116.53894735042559,191.93620783459582,12
lane_00130,site_0191,site_0073,11,376.41999999999996,116.16245779485011,191.31614064479012,14
lane_02925,site_2316,site_2310,5,310.79999999999995,153.57735429166587,190.80879464514553,5
lane_01779,site_1530,site_1499,5,375.0,115.72424863999997,190.59442309599999,5
lane_02526,site_2095,site_1414,2,229.34,190.35131770775527,190.35131770775527,5
lane_01178,site_1063,site_2060,2,246.0,190.02075275321596,190.02075275321596,2
lane_02144,site_1762,site_0204,7,373.17,115.15951430663678,189.66432231129147,8
lane_00060,site_0164,site_0101,11,370.04,114.19360257798824,188.07349419318354,13
lane_03061,site_2418,site_2419,1,243.0,187.70342650012796,187.70342650012796,1
lane_02838,site_2279,site_2288,1,242.09,187.00050420335793,187.00050420335793,1
lane_01826,site_1530,site_1554,9,367.87,113.52394492585812,186.97058779820136,10
lane_00118,site_0191,site_0024,13,364.26,112.40990615895039,185.13579881853053,15
lane_02637,site_2128,site_1464,15,363.75,112.25252118079999,184.87659040311993,19
lane_02660,site_2128,site_2101,6,363.6,112.20623148134399,184.80035263388154,6
lane_03006,site_2365,site_1489,1,238.0,183.84121607831463,183.84121607831463,1
lane_01179,site_1063,site_2061,2,238.0,183.84121607831463,183.84121607831463,2
lane_01297,site_1187,site_1222,7,238.0,183.84121607831463,183.84121607831463,9
lane_02590,site_2128,site_0173,6,361.02,111.41004865070079,183.48906300298108,7
lane_02394,site_1907,site_1570,1,359.08,110.81136853773651,182.50305452083109,1
lane_01901,site_1573,site_2045,6,358.56,110.65089757962238,182.23876358747128,6
lane_02935,site_2316,site_2321,4,284.32,153.68065787742972,182.06344187920294,4
lane_02104,site_1762,site_0085,9,358.02,110.48425466158078,181.9643076182131,10
lane_02664,site_2128,site_2109,9,357.48,110.31761174353917,181.68985164895483,13
lane_00441,site_0479,site_0451,8,245.52,175.41460549232923,181.5419805698083,10
lane_02395,site_1907,site_1580,1,356.52,110.02135766702077,181.20192992582906,1
lane_02390,site_1907,site_1512,1,355.66,109.75596339013973,180.7648333821956,1
lane_00063,site_0164,site_0115,17,354.96,109.53994479267836,180.40905712574968,19
lane_02117,site_1762,site_0116,7,354.92,109.52760087282343,180.3887270539528,7
lane_02600,site_2128,site_0213,8,352.72,108.84868528080212,179.27057310512296,10
lane_02068,site_1725,site_2095,1,232.04,179.23746125551313,179.23746125551313,1
lane_02721,site_2192,site_1095,1,231.75,179.01345305104795,179.01345305104795,1
lane_02928,site_2316,site_2313,5,351.75,108.54934522431996,178.77756886404796,5
lane_01888,site_1573,site_1929,2,231.26,178.63495642971026,178.63495642971026,2
lane_02477,site_2057,site_1358,1,230.62,178.14059349571815,178.14059349571815,1
lane_02123,site_1762,site_0127,7,350.42,108.13890988914343,178.1015939768008,10
lane_02278,site_1847,site_1867,6,230.28,177.87796318703482,177.87796318703482,6
lane_01881,site_1573,site_1578,13,349.31,107.79636611316906,177.53743448443666,16
lane_02920,site_2316,site_1947,2,229.22,177.0591745776104,177.0591745776104,2
lane_02558,site_2119,site_0782,2,214.0,176.87917292707198,176.87917292707198,2
lane_02651,site_2128,site_2086,4,348.0,107.39210273791998,176.87162463308795,4
lane_02409,site_1907,site_1920,10,347.8,107.33038313864529,176.76997427410345,12
lane_02745,site_2192,site_2226,1,228.77,176.7115756396472,176.7115756396472,1
lane_01362,site_1222,site_1232,3,228.69,176.6497802728982,176.6497802728982,3
lane_02939,site_2316,site_2402,4,228.56,176.54936280193104,176.54936280193104,4
lane_02086,site_1762,site_0046,9,345.78000000000003,106.70701518597117,175.74330564835967,10
lane_02851,site_2316,site_0704,7,345.45,106.60517784716797,175.57558255603516,7
lane_00212,site_0246,site_0164,10,298.67,133.69228633362854,175.44987830022163,17
lane_00983,site_0925,site_0424,4,226.84,175.22076241682726,175.22076241682726,4
lane_02281,site_1847,site_1873,19,343.90000000000003,106.12685095278931,174.78779227390504,25
lane_02151,site_1762,site_0221,6,254.82,157.43477510348072,174.39336875226107,7
lane_00702,site_0686,site_0486,1,225.62,174.27838307390482,174.27838307390482,1
lane_02184,site_1762,site_2085,8,342.0,105.54051475967998,173.82211386355198,8
lane_02126,site_1762,site_0140,8,340.96,105.2195728434517,173.29353199683234,10
lane_02393,site_1907,site_1542,1,339.6,104.79987956838399,172.60230955573755,1
lane_00966,site_0916,site_1257,1,195.74,172.37535751661864,172.37535751661864,1
lane_01595,site_1391,site_1592,2,223.0,172.2545848128746,172.2545848128746,2
lane_02392,site_1907,site_1522,1,337.68,104.2073714153472,171.62646610948605,1
lane_00139,site_0191,site_0119,15,337.65000000000003,104.19811347545598,171.61121855563837,17
lane_01414,site_1248,site_1266,1,222.0,171.48214272851195,171.48214272851195,1
lane_00295,site_0328,site_0348,3,221.91,171.4126229409193,171.4126229409193,3
lane_02864,site_2316,site_0717,8,336.24,103.76299030056958,170.8945835247974,7
lane_02658,site_2128,site_2097,8,336.0,103.68892678143997,170.77260309401598,9
lane_02498,site_2095,site_0191,2,206.0,170.26686739708796,170.26686739708796,2
lane_00696,site_0665,site_1248,4,220.0,169.9372585597866,169.9372585597866,4
lane_00047,site_0164,site_0037,11,333.3,102.85571219123199,169.40032324772474,13
lane_02391,site_1907,site_1517,1,331.32,102.24468815841279,168.39398469377787,1
lane_01980,site_1626,site_2144,1,217.9,168.31513018262504,168.31513018262504,1
lane_02853,site_2316,site_0706,7,331.1,102.17679659921066,168.2821692988949,8
lane_02856,site_2316,site_0709,6,281.46,130.37584439439763,167.83888315419452,6
lane_01895,site_1573,site_2038,4,216.52,167.24916010620456,167.24916010620456,5
lane_02062,site_1725,site_1983,2,260.68,140.90276412313023,166.9256402260503,2
lane_00264,site_0328,site_0315,4,215.08,166.13684350472232,166.13684350472232,4
lane_01845,site_1530,site_1577,5,215.0,166.0750481379733,166.0750481379733,6
lane_01224,site_1119,site_1778,2,214.68,165.82786667097724,165.82786667097724,2
lane_00991,site_0925,site_0433,8,224.0,160.03939243353597,165.6296987929173,7
lane_00089,site_0164,site_0223,13,324.09,100.01352464463358,164.719324216487,13
lane_01339,site_1199,site_2396,1,212.81,164.38339997321904,164.38339997321904,1
